rank,title,duration,genres,directors,cast,synopsis,rating
275,L'Île aux chiens,1h 42min,"Aventure,
Animation","De
Wes Anderson","Avec
Vincent Lindon,
Bryan Cranston,
Louis Garrel","En raison d’une épidémie de grippe canine, le maire de Megasaki ordonne la mise en quarantaine de tous les chiens de la ville, envoyés sur une île qui devient alors l’Ile aux Chiens. Le jeune Atari, 12 ans, vole un avion et se rend sur l’île pour rechercher son fidèle compagnon, Spots. Aidé par une bande de cinq chiens intrépides et attachants, il découvre une conspiration qui menace la ville.",4.1
276,Harry Potter et les reliques de la mort - partie 2,2h 10min,"Aventure,
Fantastique","De
David Yates","Avec
Daniel Radcliffe,
Rupert Grint,
Emma Watson","Dans la 2e Partie de cet épisode final, le combat entre les puissances du bien et du mal de l’univers des sorciers se transforme en guerre sans merci. Les enjeux n’ont jamais été si considérables et personne n’est en sécurité.",3.8
277,Nausicaä de la vallée du vent,1h 57min,"Aventure,
Animation","De
Hayao Miyazaki","Avec
Gorô Naya,
Ichirô Nagai,

Mîna Tominaga","Confrontée à la disparition des ressources naturelles de sa planète, la princesse guerrière Nausicaä rassemble son peuple contre l'armée destructrice d'une reine infâme.",4.5
278,Requiem for a Dream,1h 42min,Drame,"De
Darren Aronofsky","Avec
Jared Leto,
Ellen Burstyn,
Jennifer Connelly","Harry Goldfarb est un junkie. Il passe ses journées en compagnie de sa petite amie Marion et son copain Tyrone. Ensemble, ils s'inventent un paradis artificiel. En quête d'une vie meilleure, le trio est entraîné dans une spirale infernale...",4.0
279,The Revenant,2h 36min,"Aventure,
Western","De
Alejandro González Iñárritu","Avec
Leonardo DiCaprio,

Tom Hardy,
Domhnall Gleeson","Dans une Amérique profondément sauvage, Hugh Glass, un trappeur, est attaqué par un ours et grièvement blessé. Abandonné par ses équipiers, il est laissé pour mort. Mais Glass refuse de mourir.",3.8
280,Little Big Man,2h 19min,"Aventure,
Western","De
Arthur Penn","Avec
Dustin Hoffman,
Faye Dunaway,
Martin Balsam","L'histoire d'un visage pâle partagé entre ses origines et sa famille d'adoption, indienne.",4.2
281,Dragons 2,1h 43min,"Aventure,
Animation,
Famille","De
Dean DeBlois","Avec
Donald Reignoux,
Jay Baruchel,
Cate Blanchett","Ce film est présenté hors-compétition au Festival de Cannes 2014.Tandis qu’Astrid, Rustik le Morveux et le reste de la bande se défient durant des courses sportives de dragons devenues populaires sur l’île, notre duo désormais inséparable parcourt les cieux, à la découverte de territoires inconnus et de nouveaux mondes.",4.0
282,Les Indestructibles 2,1h 58min,"Aventure,
Animation,
Famille","De
Brad Bird","Avec
Gérard Lanvin,
Craig T. Nelson,

Déborah Perret","La suite des aventures de la famille Indestructibles. Alors qu'Hélène (Elastic Girl) prend la tête de la mission ""sauver le monde"", Bob (Mr Indestructible) se retrouve en dehors de sa zone de confort à devoir gérer de manière chaotique les tâches de la vie quotidienne.",4.2
283,La grande illusion,1h 54min,"Drame,
Guerre","De
Jean Renoir","Avec
Jean Gabin,
Dita Parlo,
Erich Von Stroheim","Première Guerre mondiale. Deux soldats français sont faits prisonniers par le commandant von Rauffenstein, un Allemand raffiné et respectueux. Conduits dans un camp de prisonniers, ils aident leurs compagnons de chambrée à creuser un tunnel secret.",5.0
284,L'Ange ivre,1h 38min,"Drame,
Thriller","De
Akira Kurosawa","Avec
Toshirô Mifune,
Takashi Shimura,
Reisaburo Yamamoto","Appelé en pleine nuit à soigner un jeune gangster pour une blessure à la main, un médecin alcoolique décèle une affection plus grave, la tuberculose. Il tente de soigner le jeune homme qui ne veut rien entendre, et malgré les disputes et les menaces, il se prend d'amitié pour lui.",4.0
285,La La Land,2h 08min,"Comédie musicale,
Romance","De
Damien Chazelle","Avec
Ryan Gosling,
Emma Stone,
John Legend","Au cœur de Los Angeles, une actrice en devenir prénommée Mia sert des cafés entre deux auditions. De son côté, Sebastian, passionné de jazz, joue du piano dans des clubs miteux pour assurer sa subsistance. Tous deux sont bien loin de la vie rêvée à laquelle ils aspirent…",4.4
286,Bienvenue à Gattaca,1h 46min,Science Fiction,"De
Andrew Niccol","Avec
Ethan Hawke,
Uma Thurman,
Jude Law","Dans un monde parfait, Gattaca est un centre d'études et de recherches spatiales pour des jeunes gens au patrimoine génétique impeccable. Jérôme, candidat idéal, voit sa vie détruite par un accident...",4.2
287,Nous trois ou rien,1h 42min,Comédie dramatique,"De
 Kheiron","Avec
 Kheiron,
Leïla Bekhti,
Gérard Darmon","D’un petit village du sud de l’Iran aux cités parisiennes, Kheiron nous raconte le destin hors du commun de ses parents Hibat et Fereshteh, éternels optimistes, dans une comédie aux airs de conte universel qui évoque l’amour familial, le don de soi et surtout l’idéal d’un vivre-ensemble.",3.6
288,Avengers: Endgame,3h 01min,"Action,
Aventure,
Fantastique","De
Joe Russo,
Anthony Russo","Avec
Robert Downey Jr.,
Chris Evans,
Mark Ruffalo","Thanos ayant anéanti la moitié de l’univers, les Avengers restants resserrent les rangs dans ce vingt-deuxième film des Studios Marvel, grande conclusion d’un des chapitres de l’Univers Cinématographique Marvel.",3.2
289,Mr. Smith au Sénat,2h 05min,Comédie,"De
Frank Capra","Avec
Claude Rains,
James Stewart,
Jean Arthur","Jefferson Smith est très aimé des Boys Rangers, un club de jeunes garçons qu'il dirige. Cet homme populaire et naïf est une affaire pour le gouverneur Hopper et son chef politique Jim Taylor, qui en font un sénateur idéal pour couvrir leurs sombres histoi",4.0
290,The Greatest Showman,1h 44min,"Drame,
Comédie musicale","De
Michael Gracey","Avec
Hugh Jackman,
Zac Efron,
Michelle Williams","L’histoire de P.T Barnum, un visionnaire parti de rien pour créer un spectacle devenu un phénomène planétaire.",2.7
291,La Beauté du Diable,1h 36min,"Drame,
Fantastique","De
René Clair","Avec
Gérard Philipe,
Michel Simon,
Simone Valère","Le professeur Faust, démuni devant la vieillesse, fait un pacte avec le Diable qui lui rendra sa jeunesse contre son âme.",4.2
292,Sorcerer,2h 01min,"Action,
Aventure,
Drame","De
William Friedkin","Avec
Roy Scheider,

Bruno Cremer,
Francisco Rabal","Quatre étrangers de nationalités différentes, chacun recherché dans son pays, s'associent pour conduire un chargement de nitroglycérine à travers la jungle sud-américaine… Un voyage au coeur des ténèbres…",4.2
293,Le Septieme Juré,1h 36min,Drame,"De
Georges Lautner","Avec
Jacques Monod,
Maurice Biraud,
Bernard Blier","Un pharmacien etrangle une femme dans un bois. Alors qu'un innocent est accuse, le coupable se retrouve juré au proces de son propre crime.",4.2
294,Dans ses yeux,2h 09min,"Policier,
Drame,
Romance","De
Juan José Campanella","Avec
Ricardo Darín,
Soledad Villamil,
Pablo Rago","1974, Buenos Aires. Benjamin Esposito enquête sur le meurtre violent d'une jeune femme. 25 ans plus tard, il décide d'écrire un roman basé sur cette affaire ""classée"" dont il a été témoin et protagoniste...",3.6
295,Departures,2h 11min,Drame,"De
Yojiro Takita","Avec
Masahiro Motoki,
Tsutomu Yamazaki,
Ryoko Hirosue","Au nord du Japon, à Yamagata, où Daigo Kobayashi retourne avec son épouse, après l'éclatement de l'orchestre dans lequel il jouait. Daigo répond à une annonce pour un emploi ""d'aide aux départs"", imaginant avoir affaire à une agence de voyages...",3.7
296,Eternal Sunshine of the Spotless Mind,1h 48min,"Comédie,
Drame,
Science Fiction","De
Michel Gondry","Avec
Jim Carrey,
Kate Winslet,
Kirsten Dunst",Joel et Clementine ne voient plus que les mauvais côtés de leur tumultueuse histoire d'amour. Joel contacte le Dr. Mierzwiak pour qu'il extirpe de sa mémoire tout ce qui le rattachait à Clementine. Les souvenirs commencent à défiler...,4.0
297,Fantastic Mr. Fox,1h 28min,"Aventure,
Animation,

Comédie","De
Wes Anderson","Avec
George Clooney,
Meryl Streep,
Jason Schwartzman",Trois fermiers doivent faire face à un renard très futé à la recherche de nourriture pour sa famille...,4.3
298,Snatch,1h 43min,"Comédie,
Policier","De
Guy Ritchie","Avec
Jason Statham,
Brad Pitt,
Vinnie Jones","Franky vient de voler un énorme diamant qu'il doit livrer à Avi, un mafieux new-yorkais. En chemin, il fait escale à Londres où il se laisse convaincre par Boris de parier sur un combat de boxe clandestin.",3.7
299,Kill Bill: Volume 1,1h 52min,"Action,
Thriller","De
Quentin Tarantino","Avec
Uma Thurman,
Sonny Chiba,
Lucy Liu","Laissée pour morte après un massacre dans une chapelle où avait lieu son mariage, une tueuse à gages sort de son coma et se venge en éliminant les membres d'une organisation criminelle, dont leur chef Bill qu'elle se réserve pour la fin.",4.0
300,Le Cirque,1h 12min,"Comédie,
Drame,

Romance","De
Charles Chaplin","Avec
Charles Chaplin,
Al Ernest Garcia,
Merna Kennedy","En fuyant la police, un vagabond se retrouve sur la piste d’un cirque. Ses étourderies provoquent l’hilarité du public et incitent le directeur de l’établissement à l’embaucher comme clown…",
